country,id_json
Afghanistan,4.0
Afghanistan,4.0
Afghanistan,4.0
Afghanistan,4.0
Afghanistan,4.0
Afghanistan,4.0
Afghanistan,4.0
Afghanistan,4.0
Afghanistan,4.0
Afghanistan,4.0
Afghanistan,4.0
Afghanistan,4.0
Afghanistan,4.0
Albania,8.0
Albania,8.0
Albania,8.0
Albania,8.0
Albania,8.0
Albania,8.0
Albania,8.0
Albania,8.0
Albania,8.0
Albania,8.0
Albania,8.0
Albania,8.0
Albania,8.0
Algeria,12.0
Algeria,12.0
Algeria,12.0
Algeria,12.0
Algeria,12.0
Algeria,12.0
Algeria,12.0
Algeria,12.0
Algeria,12.0
Algeria,12.0
Algeria,12.0
Algeria,12.0
Algeria,12.0
Angola,24.0
Angola,24.0
Angola,24.0
Angola,24.0
Angola,24.0
Angola,24.0
Argentina,32.0
Argentina,32.0
Argentina,32.0
Argentina,32.0
Argentina,32.0
Argentina,32.0
Argentina,32.0
Argentina,32.0
Argentina,32.0
Argentina,32.0
Argentina,32.0
Argentina,32.0
Argentina,32.0
Armenia,51.0
Armenia,51.0
Armenia,51.0
Armenia,51.0
Armenia,51.0
Armenia,51.0
Armenia,51.0
Armenia,51.0
Armenia,51.0
Armenia,51.0
Armenia,51.0
Armenia,51.0
Armenia,51.0
Australia,36.0
Australia,36.0
Australia,36.0
Australia,36.0
Australia,36.0
Australia,36.0
Australia,36.0
Australia,36.0
Australia,36.0
Australia,36.0
Australia,36.0
Australia,36.0
Australia,36.0
Austria,40.0
Austria,40.0
Austria,40.0
Austria,40.0
Austria,40.0
Austria,40.0
Austria,40.0
Austria,40.0
Austria,40.0
Austria,40.0
Austria,40.0
Austria,40.0
Austria,40.0
Azerbaijan,31.0
Azerbaijan,31.0
Azerbaijan,31.0
Azerbaijan,31.0
Azerbaijan,31.0
Azerbaijan,31.0
Azerbaijan,31.0
Azerbaijan,31.0
Azerbaijan,31.0
Azerbaijan,31.0
Azerbaijan,31.0
Azerbaijan,31.0
Bahrain,48.0
Bahrain,48.0
Bahrain,48.0
Bahrain,48.0
Bahrain,48.0
Bahrain,48.0
Bahrain,48.0
Bahrain,48.0
Bahrain,48.0
Bahrain,48.0
Bahrain,48.0
