country,id_json
Albania,8.0
Algeria,12.0
Argentina,32.0
Armenia,51.0
Australia,36.0
Austria,40.0
Azerbaijan,31.0
Bahamas,44.0
Bahrain,48.0
Bangladesh,50.0
Barbados,52.0
Belarus,112.0
Belgium,56.0
Bolivia,68.0
Bosnia and Herzegovina,70.0
Brazil,76.0
Brunei,96.0
Bulgaria,100.0
Cambodia,116.0
Canada,124.0
Chile,152.0
China,156.0
Colombia,170.0
Costa Rica,188.0
Croatia,191.0
Cyprus,196.0
Czech Republic,203.0
Denmark,208.0
Dominican Republic,214.0
Ecuador,218.0
Egypt,818.0
El Salvador,222.0
Estonia,233.0
Finland,246.0
France,250.0
Georgia,268.0
Germany,276.0
Ghana,288.0
Greece,300.0
Guatemala,320.0
Honduras,340.0
Hong Kong SAR China,344.0
Hungary,348.0
Iceland,352.0
India,356.0
Indonesia,360.0
Iraq,368.0
Ireland,372.0
Israel,376.0
Italy,380.0
Jamaica,388.0
Japan,392.0
Jordan,400.0
Kazakhstan,398.0
Kuwait,414.0
Latvia,428.0
Lebanon,422.0
Libya,434.0
Lithuania,440.0
Luxembourg,442.0
Macau SAR China,446.0
Macedonia,807.0
Malaysia,458.0
Malta,470.0
Mauritius,480.0
Mexico,484.0
Moldova,498.0
Mongolia,496.0
Morocco,504.0
Myanmar,104.0
Nepal,524.0
Netherlands,528.0
New Zealand,554.0
Nigeria,566.0
Norway,578.0
Oman,512.0
Pakistan,586.0
Palestine,275.0
Panama,591.0
Peru,604.0
Philippines,608.0
Poland,616.0
Portugal,620.0
Puerto Rico,630.0
Qatar,634.0
Romania,642.0
Russia,643.0
Saudi Arabia,682.0
Serbia,688.0
Singapore,702.0
Slovakia,703.0
Slovenia,705.0
South Africa,710.0
South Korea,410.0
Spain,724.0
Sri Lanka,144.0
Sweden,752.0
Switzerland,756.0
Taiwan,158.0
Thailand,764.0
Trinidad,780.0
Tunisia,788.0
Turkey,792.0
Ukraine,804.0
United Arab Emirates,784.0
UK,826.0
USA,840.0
Uruguay,858.0
Uzbekistan,860.0
Venezuela,862.0
Vietnam,704.0
